,movieId,score
0,as1,3.5
1,as10,3.4
2,as100,3.6
3,as1000,3.6
4,as1001,3.6
5,as1002,3.6
6,as1003,3.5
7,as1004,3.5
8,as1005,3.6
9,as1006,3.5
10,as1007,3.6
11,as1008,3.4
12,as1009,3.5
13,as101,3.5
14,as1010,3.6
15,as1011,3.4
16,as1012,3.5
17,as1013,3.6
18,as1014,3.5
19,as1015,3.6
20,as1016,3.5
21,as1017,3.6
22,as1018,3.6
23,as1019,3.5
24,as102,3.4
25,as1020,3.6
26,as1021,3.6
27,as1022,3.5
28,as1023,3.5
29,as1024,3.5
30,as1025,3.6
31,as1026,3.5
32,as1027,3.5
33,as1028,3.5
34,as1029,3.6
35,as103,3.6
36,as1030,3.6
37,as1031,3.5
38,as1032,3.5
39,as1033,3.5
40,as1034,3.6
41,as1035,3.5
42,as1036,3.6
43,as1037,3.5
44,as1038,3.6
45,as1039,3.6
46,as104,3.5
47,as1040,3.5
48,as1041,3.5
49,as1042,3.6
50,as1043,3.5
51,as1044,3.4
52,as1045,3.5
53,as1046,3.6
54,as1047,3.5
55,as1048,3.4
56,as1049,3.5
57,as105,3.6
58,as1050,3.6
59,as1051,3.5
60,as1052,3.5
61,as1053,3.5
62,as1054,3.5
63,as1055,3.6
64,as1056,3.5
65,as1057,3.6
66,as1058,3.5
67,as1059,3.5
68,as106,3.5
69,as1060,3.5
70,as1061,3.5
71,as1062,3.6
72,as1063,3.5
73,as1064,3.5
74,as1065,3.5
75,as1066,3.5
76,as1067,3.6
77,as1068,3.5
78,as1069,3.6
79,as107,3.6
80,as1070,3.5
81,as1071,3.5
82,as1072,3.6
83,as1073,3.6
84,as1074,3.5
85,as1075,3.5
86,as1076,3.5
87,as1077,3.5
88,as1078,3.5
89,as1079,3.6
90,as108,3.6
91,as1080,3.5
92,as1081,3.6
93,as1082,3.5
94,as1083,3.5
95,as1084,3.5
96,as1085,3.5
97,as1086,3.6
98,as1087,3.5
99,as1088,3.5
100,as1089,3.5
101,as109,3.6
102,as1090,3.5
103,as1091,3.5
104,as1092,3.5
105,as1093,3.6
106,as1094,3.5
107,as1095,3.6
108,as1096,3.5
109,as1097,3.5
110,as1098,3.6
111,as1099,3.6
112,as11,3.6
113,as110,3.5
114,as1100,3.6
115,as1101,3.6
116,as1102,3.5
117,as1103,3.5
118,as1104,3.6
119,as1105,3.5
120,as1106,3.5
121,as1107,3.5
122,as1108,3.5
123,as1109,3.5
124,as111,3.5
125,as1110,3.5
126,as1111,3.5
127,as1112,3.5
128,as1113,3.6
129,as1114,3.5
130,as1115,3.5
131,as1116,3.5
132,as1117,3.5
133,as1118,3.6
134,as1119,3.6
135,as112,3.6
136,as1120,3.5
137,as1121,3.6
138,as1122,3.5
139,as1123,3.5
140,as1124,3.5
141,as1125,3.5
142,as1126,3.4
143,as1127,3.6
144,as1128,3.6
145,as1129,3.6
146,as113,3.5
147,as1130,3.6
148,as1131,3.6
149,as1132,3.5
150,as1133,3.6
151,as1134,3.5
152,as1135,3.5
153,as1136,3.5
154,as1137,3.5
155,as1138,3.5
156,as1139,3.7
157,as114,3.5
158,as1140,3.5
159,as1141,3.6
160,as1142,3.5
161,as1143,3.5
162,as1144,3.5
163,as1145,3.5
164,as1146,3.6
165,as1147,3.5
166,as1148,3.5
167,as1149,3.5
168,as115,3.5
169,as1150,3.5
170,as1151,3.5
171,as1152,3.5
172,as1153,3.5
173,as1154,3.6
174,as1155,3.6
175,as1156,3.6
176,as1157,3.6
177,as1158,3.5
178,as1159,3.7
179,as116,3.6
180,as1160,3.5
181,as1161,3.5
182,as1162,3.5
183,as1163,3.5
184,as1164,3.6
185,as1165,3.6
186,as1166,3.5
187,as1167,3.4
188,as1168,3.5
189,as1169,3.5
190,as117,3.6
191,as1170,3.5
192,as1171,3.4
193,as1172,3.5
194,as1173,3.5
195,as1174,3.5
196,as1175,3.6
197,as1176,3.5
198,as1177,3.6
199,as1178,3.5
200,as1179,3.5
201,as118,3.5
202,as1180,3.6
203,as1181,3.7
204,as1182,3.5
205,as1183,3.6
206,as1184,3.6
207,as1185,3.5
208,as1186,3.5
209,as1187,3.5
210,as1188,3.5
211,as1189,3.5
212,as119,3.6
213,as1190,3.6
214,as1191,3.5
215,as1192,3.6
216,as1193,3.5
217,as1194,3.5
218,as1195,3.6
219,as1196,3.5
220,as1197,3.5
221,as1198,3.6
222,as1199,3.6
223,as12,3.6
224,as120,3.4
225,as1200,3.5
226,as1201,3.5
227,as1202,3.5
228,as1203,3.6
229,as1204,3.5
230,as1205,3.5
231,as1206,3.5
232,as1207,3.5
233,as1208,3.6
234,as1209,3.5
235,as121,3.5
236,as1210,3.6
237,as1211,3.5
238,as1212,3.6
239,as1213,3.5
240,as1214,3.6
241,as1215,3.6
242,as1216,3.5
243,as1217,3.5
244,as1218,3.5
245,as1219,3.5
246,as122,3.5
247,as1220,3.6
248,as1221,3.5
249,as1222,3.5
250,as1223,3.5
251,as1224,3.6
252,as1225,3.5
253,as1226,3.5
254,as1227,3.5
255,as1228,3.5
256,as1229,3.6
257,as123,3.4
258,as1230,3.5
259,as1231,3.5
260,as1232,3.5
261,as1233,3.5
262,as1234,3.6
263,as1235,3.5
264,as1236,3.6
265,as1237,3.5
266,as1238,3.5
267,as1239,3.6
268,as124,3.4
269,as1240,3.5
270,as1241,3.5
271,as1242,3.5
272,as1243,3.6
273,as1244,3.6
274,as1245,3.5
275,as1246,3.5
276,as1247,3.4
277,as1248,3.5
278,as1249,3.4
279,as125,3.5
280,as1250,3.5
281,as1251,3.5
282,as1252,3.6
283,as1253,3.5
284,as1254,3.6
285,as1255,3.5
286,as1256,3.5
287,as1257,3.6
288,as1258,3.6
289,as1259,3.4
290,as126,3.5
291,as1260,3.6
292,as1261,3.5
293,as1262,3.5
294,as1263,3.6
295,as1264,3.6
296,as1265,3.6
297,as1266,3.5
298,as1267,3.5
299,as1268,3.6
300,as1269,3.4
301,as127,3.6
302,as1270,3.6
303,as1271,3.6
304,as1272,3.5
305,as1273,3.6
306,as1274,3.6
307,as1275,3.5
308,as1276,3.7
309,as1277,3.5
310,as1278,3.6
311,as1279,3.6
312,as128,3.5
313,as1280,3.5
314,as1281,3.5
315,as1282,3.6
316,as1283,3.6
317,as1284,3.6
318,as1285,3.5
319,as1286,3.4
320,as1287,3.4
321,as1288,3.5
322,as1289,3.5
323,as129,3.5
324,as1290,3.5
325,as1291,3.6
326,as1292,3.6
327,as1293,3.5
328,as1294,3.6
329,as1295,3.6
330,as1296,3.5
331,as1297,3.5
332,as1298,3.5
333,as1299,3.5
334,as13,3.5
335,as130,3.5
336,as1300,3.5
337,as1301,3.5
338,as1302,3.5
339,as1303,3.5
340,as1304,3.6
341,as1305,3.5
342,as1306,3.6
343,as1307,3.6
344,as1308,3.5
345,as1309,3.5
346,as131,3.6
347,as1310,3.6
348,as1311,3.5
349,as1312,3.5
350,as1313,3.5
351,as1314,3.5
352,as1315,3.5
353,as1316,3.5
354,as1317,3.5
355,as1318,3.6
356,as1319,3.5
357,as132,3.6
358,as1320,3.5
359,as1321,3.5
360,as1322,3.6
361,as1323,3.6
362,as1324,3.5
363,as1325,3.6
364,as1326,3.5
365,as1327,3.4
366,as1328,3.5
367,as1329,3.6
368,as133,3.5
369,as1330,3.5
370,as1331,3.6
371,as1332,3.5
372,as1333,3.5
373,as1334,3.5
374,as1335,3.4
375,as1336,3.6
376,as1337,3.6
377,as1338,3.4
378,as1339,3.4
379,as134,3.5
380,as1340,3.6
381,as1341,3.5
382,as1342,3.5
383,as1343,3.5
384,as1344,3.5
385,as1345,3.5
386,as1346,3.6
387,as1347,3.5
388,as1348,3.6
389,as1349,3.5
390,as135,3.5
391,as1350,3.5
392,as1351,3.6
393,as1352,3.6
394,as1353,3.6
395,as1354,3.6
396,as1355,3.6
397,as1356,3.5
398,as1357,3.5
399,as1358,3.6
400,as1359,3.6
401,as136,3.5
402,as1360,3.6
403,as1361,3.4
404,as1362,3.5
405,as1363,3.6
406,as1364,3.5
407,as1365,3.5
408,as1366,3.5
409,as1367,3.6
410,as1368,3.6
411,as1369,3.5
412,as137,3.6
413,as1370,3.6
414,as1371,3.5
415,as1372,3.6
416,as1373,3.5
417,as1374,3.6
418,as1375,3.6
419,as1376,3.5
420,as1377,3.5
421,as1378,3.5
422,as1379,3.5
423,as138,3.4
424,as1380,3.5
425,as1381,3.5
426,as1382,3.6
427,as1383,3.5
428,as1384,3.5
429,as1385,3.6
430,as1386,3.5
431,as1387,3.5
432,as1388,3.6
433,as1389,3.6
434,as139,3.7
435,as1390,3.6
436,as1391,3.5
437,as1392,3.5
438,as1393,3.5
439,as1394,3.6
440,as1395,3.6
441,as1396,3.5
442,as1397,3.5
443,as1398,3.6
444,as1399,3.6
445,as14,3.6
446,as140,3.7
447,as1400,3.5
448,as1401,3.5
449,as1402,3.6
450,as1403,3.6
451,as1404,3.5
452,as1405,3.5
453,as1406,3.5
454,as1407,3.5
455,as1408,3.5
456,as1409,3.4
457,as141,3.5
458,as1410,3.5
459,as1411,3.5
460,as1412,3.5
461,as1413,3.5
462,as1414,3.5
463,as1415,3.5
464,as1416,3.5
465,as1417,3.6
466,as1418,3.5
467,as1419,3.6
468,as142,3.5
469,as1420,3.5
470,as1421,3.5
471,as1422,3.6
472,as1423,3.5
473,as1424,3.5
474,as1425,3.6
475,as1426,3.5
476,as1427,3.5
477,as1428,3.6
478,as1429,3.5
479,as143,3.6
480,as1430,3.5
481,as1431,3.5
482,as1432,3.5
483,as1433,3.6
484,as1434,3.5
485,as1435,3.5
486,as1436,3.5
487,as1437,3.5
488,as1438,3.6
489,as1439,3.5
490,as144,3.5
491,as1440,3.5
492,as1441,3.7
493,as1442,3.5
494,as1443,3.6
495,as1444,3.6
496,as1445,3.5
497,as1446,3.5
498,as1447,3.6
499,as1448,3.5
500,as1449,3.4
501,as145,3.6
502,as1450,3.6
503,as1451,3.6
504,as1452,3.5
505,as1453,3.4
506,as1454,3.5
507,as1455,3.6
508,as1456,3.5
509,as1457,3.6
510,as1458,3.5
511,as1459,3.5
512,as146,3.5
513,as1460,3.6
514,as1461,3.5
515,as1462,3.5
516,as1463,3.5
517,as1464,3.6
518,as1465,3.6
519,as1466,3.6
520,as1467,3.6
521,as1468,3.5
522,as1469,3.6
523,as147,3.6
524,as1470,3.5
525,as1471,3.6
526,as1472,3.5
527,as1473,3.5
528,as1474,3.5
529,as1475,3.5
530,as1476,3.6
531,as1477,3.6
532,as1478,3.5
533,as1479,3.5
534,as148,3.5
535,as1480,3.6
536,as1481,3.5
537,as1482,3.5
538,as1483,3.6
539,as1484,3.6
540,as1485,3.5
541,as1486,3.6
542,as1487,3.4
543,as1488,3.5
544,as1489,3.5
545,as149,3.5
546,as1490,3.5
547,as1491,3.5
548,as1492,3.5
549,as1493,3.5
550,as1494,3.5
551,as1495,3.6
552,as1496,3.5
553,as1497,3.6
554,as1498,3.5
555,as1499,3.6
556,as15,3.5
557,as150,3.6
558,as1500,3.5
559,as1501,3.5
560,as1502,3.5
561,as1503,3.6
562,as1504,3.5
563,as1505,3.5
564,as1506,3.6
565,as1507,3.6
566,as1508,3.5
567,as1509,3.5
568,as151,3.5
569,as1510,3.5
570,as1511,3.5
571,as1512,3.6
572,as1513,3.6
573,as1514,3.5
574,as1515,3.5
575,as1516,3.5
576,as1517,3.6
577,as1518,3.6
578,as1519,3.5
579,as152,3.6
580,as1520,3.6
581,as1521,3.5
582,as1522,3.5
583,as1523,3.6
584,as1524,3.6
585,as1525,3.6
586,as1526,3.5
587,as1527,3.5
588,as1528,3.6
589,as1529,3.5
590,as153,3.5
591,as1530,3.5
592,as1531,3.6
593,as1532,3.6
594,as1533,3.5
595,as1534,3.5
596,as1535,3.5
597,as1536,3.5
598,as1537,3.6
599,as1538,3.5
600,as1539,3.5
601,as154,3.5
602,as1540,3.5
603,as1541,3.5
604,as1542,3.5
605,as1543,3.5
606,as1544,3.5
607,as1545,3.5
